4,3.95
6,3.80
8,3.04
10,1.98
12,1.33
14,1.29
16,1.76
18,2.49
20,2.94
22,3.08
24,3.19
26,3.33
28,3.85
30,5.10
32,6.91
34,9.47
36,12.89
38,16.33
40,19.61
42,22.71
44,24.99
46,27.03
48,28.93
50,29.55
52,29.72
54,30.24
56,30.34
58,30.26
60,30.04
62,29.23
64,28.38
66,27.45
68,26.31
70,25.41
72,24.56
74,23.55
76,22.60
78,21.71
80,20.84
82,20.02
84,19.17
86,18.28
88,17.38
90,16.57
92,15.88
94,15.22
96,14.60
98,13.99
100,13.39
102,12.88
104,12.44
106,11.96
108,11.43
110,10.87
112,10.34
114,9.89
116,9.51
118,8.11
120,4.28
122,0.88
124,0.03
