4,1.36
6,1.81
8,3.08
10,3.92
12,4.67
14,6.59
16,10.57
18,16.4
20,22.62
22,27.8
24,31.08
26,31.84
28,30.78
30,28.84
32,26.15
34,23.32
36,20.67
38,17.82
40,15.07
42,12.72
44,10.61
46,8.89
48,7.5
50,6.27
52,5.25
54,4.39
56,3.63
58,3.03
60,2.51
62,2.08
64,1.75
66,1.5
68,1.29
70,1.13
72,0.98
74,0.86
76,0.77
78,0.7
80,0.63
82,0.57
84,0.51
86,0.45
88,0.42
90,0.39
92,0.37
94,0.35
96,0.33
98,0.31
100,0.29
102,0.28
104,0.27
106,0.27
108,0.26
110,0.26
112,0.25
114,0.25
116,0.25
118,0.22
120,0.12
122,0.02
124,0
