0;0.00
2;10.01
4;12.92
6;12.72
8;9.03
10;4.47
12;2.10
14;1.90
16;2.93
18;4.26
20;5.18
22;5.64
24;5.82
26;6.03
28;6.59
30;7.59
32;8.97
34;10.92
36;13.55
38;16.44
40;19.51
42;22.51
44;24.83
46;27.04
48;29.12
50;30.11
52;30.71
54;31.32
56;31.42
58;31.43
60;31.27
62;30.64
64;30.07
66;29.28
68;28.02
70;26.74
72;25.46
74;24.16
76;23.03
78;21.90
80;20.74
82;19.64
84;18.58
86;17.59
88;16.66
90;15.77
92;14.93
94;14.08
96;13.27
98;12.58
100;11.96
102;11.39
104;10.86
106;10.27
108;9.68
110;9.17
112;8.70
114;8.27
116;7.86
118;5.75
120;1.82
