0;0
2;7.99
4;7.35
6;7.08
8;8.9
10;12.25
12;16.46
14;21.07
16;25.4
18;28.95
20;31.08
22;31.23
24;30.05
26;28.48
28;26.7
30;24.99
32;23.49
34;22.03
36;20.67
38;19.27
40;17.6
42;15.86
44;14.06
46;12.15
48;10.36
50;8.66
52;7.06
54;5.71
56;4.55
58;3.56
60;2.76
62;2.09
64;1.58
66;1.21
68;0.94
70;0.77
72;0.67
74;0.62
76;0.61
78;0.62
80;0.65
82;0.69
84;0.75
86;0.81
88;0.87
90;0.93
92;0.99
94;1.04
96;1.08
98;1.12
100;1.15
102;1.18
104;1.2
106;1.21
108;1.22
110;1.22
112;1.22
114;1.22
116;1.21
118;0.93
120;0.3
