0;0.00
2;8.33
4;6.87
6;3.26
8;1.30
10;0.84
12;1.06
14;1.86
16;3.60
18;6.24
20;8.69
22;9.88
24;10.02
26;9.85
28;10.15
30;11.59
32;14.14
34;17.38
36;21.08
38;24.50
40;27.31
42;29.64
44;30.89
46;31.22
48;31.27
50;30.55
52;29.29
54;27.83
56;25.92
58;24.08
60;22.44
62;20.68
64;19.06
66;17.61
68;16.16
70;14.83
72;13.58
74;12.39
76;11.36
78;10.40
80;9.50
82;8.70
84;7.99
86;7.39
88;6.86
90;6.37
92;5.91
94;5.49
96;5.13
98;4.84
100;4.57
102;4.32
104;4.11
106;3.89
108;3.70
110;3.54
112;3.36
114;3.18
116;3.02
118;2.22
120;0.71
