4,1.29
6,4.5
8,15.3
10,3.93
12,1.24
14,3.93
16,0.93
18,0.65
20,4.2
22,4.66
24,2.21
26,0.86
28,1.5
30,2.45
32,2.41
34,1.45
36,0.67
38,0.41
40,0.6
42,0.91
44,1.37
46,1.75
48,2.6
50,3.9
52,6.07
54,8.97
56,12.64
58,16.47
60,20.03
62,23.15
64,26.08
66,28.07
68,29.02
70,29.36
72,29.07
74,28.49
76,27.11
78,25.26
80,23.4
82,21.76
84,19.93
86,17.98
88,16.18
90,14.46
92,12.96
94,11.52
96,10.2
98,9.01
100,8.03
102,7.14
104,6.32
106,5.65
108,5.05
110,4.48
112,4.03
114,3.64
116,3.29
118,2.97
120,2.72
